Store Name,City,State,Instagram,Email,Phone,Lead Score,Priority Tier,Brands Carried,Score Reasons
KICKS (Parque La Colina),Bogotá,Colombia,@kicks.com.co,,310 274 9829,90,🔥 TIER 1 — Hot,Jordan | Nike | Adidas | New Balance | New Era | RipNDip,"Premium flagship | Multi-city chain | Carries Jordan | Nike | Adidas | New Balance | New Era | RipNDip | Premium positioning | Bogotá, Colombia"
KICKS (Multiplaza),Bogotá,Colombia,@kicks.com.co,,318 754 2892,90,🔥 TIER 1 — Hot,,"Premium flagship | Bogotá, Colombia"
KICKS (Unicentro),Bogotá,Colombia,@kicks.com.co,,318 255 6130,90,🔥 TIER 1 — Hot,,"Premium flagship | Bogotá, Colombia"
KICKS (Calle 82),Bogotá,Colombia,@kicks.com.co,,317 382 0024,90,🔥 TIER 1 — Hot,,"Premium flagship | Bogotá, Colombia"
KICKS (Centro Mayor),Bogotá,Colombia,@kicks.com.co,,310 205 2786,90,🔥 TIER 1 — Hot,,"Premium flagship | Bogotá, Colombia"
HYPE Concept Store,Bogotá,Colombia,@hype.com.co,contacto@hype.com.co,+57 300-728-1471,80,🔥 TIER 1 — Hot,Jordan | Nike | Adidas | Vans | Pleasures | New Balance,"Top-tier boutique | Carries Jordan | Nike | Adidas | Vans | Pleasures | New Balance | Exclusive drops | Bogotá, Colombia"
Broken Chains Bogotá Flagship,Bogotá,Colombia,@brokenchains.co,,+57 310 443 6885,80,🔥 TIER 1 — Hot,,"Top-tier boutique | Premium positioning | Coffee concept inside | Est. 2018 | Bogotá, Colombia"
MONOIC Studios,Bogotá,Colombia,@monoicstudios,,,70,⭐ TIER 2 — Strong,,"Strong multi-city brand | Premium positioning | Bogotá, Colombia"
CLOUD,Bogotá,Colombia,@cloudtenbrand,,,60,⭐ TIER 2 — Strong,,"Rising streetwear store | Limited edition drops | Bogotá, Colombia"
Tienda Estilo Urbano,Bogotá,Colombia,@tiendaestilourbano,,,45,📋 TIER 3 — Pipeline,,"Pipeline prospect | Ships internationally | National shipping | Bogotá, Colombia"
