Store Name,City,State,Country,Website,Instagram,Email,Phone,Carries Supreme,Carries Hellstar,Carries Godspeed,Last Order Date,Outreach Status,Outreach Channel,Notes,Date Added,Lead Score,Priority Tier,Brands Carried,Score Reasons,Score Breakdown
HYP Miami,Miami (Brickell),FL,USA,hypmiami.com,@hypmiami,No,No,No,,New Lead,Premium streetwear Brickell - Chrome Hearts/Fear of God/GV Gallery - TOP PRIORITY,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
UNKNWN Miami,Miami,FL,USA,unknwn.com,@unknwn,No,No,No,,New Lead,Iconic Miami streetwear destination - KEY ACCOUNT,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
SoleFly South Miami,Miami,FL,USA,solefly.com,305-661-3423,No,No,No,,New Lead,8099 S Dixie Hwy #2 Miami FL 33143 - Collab boutique,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
SoleFly Cutler Bay,Cutler Bay,FL,USA,solefly.com,305-800-3423,No,No,No,,New Lead,18433 S Dixie Hwy Cutler Bay FL 33157,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
SoleFly Doral,Doral,FL,USA,solefly.com,@solefly,No,No,No,,New Lead,8405 NW 53 St Ste E106 Doral FL 33166,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Survival Miami,Miami,FL,USA,survivalmiami.com,(786) 705-3777,info@survivalmiami.com,No,No,,New Lead,4 South Florida locations - multi-door deal potential,,,,,72,B-Tier,,,Contact:22/Brand:5/Market:25/Reach:20
BASE Miami,Miami (Wynwood),FL,USA,,@basemiami,No,No,No,,New Lead,Yelp Top 10 Miami streetwear - Wynwood location,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
Sniper Gang Hotbox,Miami,FL,USA,,@snipergang,No,No,No,,New Lead,Rap/streetwear lifestyle store - Yelp Top 10,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
ReUp Miami,Miami,FL,USA,,@reupmiami,No,No,No,,New Lead,Resale + streetwear boutique - Yelp Top 10,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
D-Koncept,Miami,FL,USA,,@dkoncept_,No,No,No,,New Lead,Miami streetwear boutique - Yelp Top 10,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
Lower East Coast,Miami,FL,USA,,@lowereastcoastmiami,No,No,No,,New Lead,Miami streetwear - culture-forward,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
Cool J's,Miami,FL,USA,,@cooljsmiami,No,No,No,,New Lead,Streetwear + urban - Yelp Top 10 Miami,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
Wynwood Shop,Miami (Wynwood),FL,USA,wynwoodshop.com,@wynwoodshop,No,No,No,,New Lead,Wynwood - high tourist + local traffic,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
305 Streetwear,Miami,FL,USA,305streetwear.com,@305streetwear,No,No,No,,New Lead,Miami-born streetwear brand + retail,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
The Webster Miami,Miami Beach,FL,USA,thewebster.us,@thewebster,Yes,No,No,,New Lead,1220 Collins Ave - Luxury streetwear - Off-White/Fear of God,,,,,52,B-Tier,,,Contact:22/Brand:5/Market:5/Reach:20
Supply & Advise,Miami Beach,FL,USA,supplyandadvise.com,@supplyandadvise,No,No,No,,New Lead,Premium menswear + streetwear Miami Beach,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Addict Miami,Miami (Wynwood),FL,USA,,@addictmiami,No,No,No,,New Lead,2271 NW 2nd Ave Miami FL 33127 - Wynwood institution,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
Local Motion Miami,Miami,FL,USA,,@localmotionmiami,No,No,No,,New Lead,Miami lifestyle + streetwear boutique,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
The Sneaker Don,Miami,FL,USA,,@thesneakerdonmiami,No,No,No,,New Lead,Miami luxury sneaker boutique,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
Miami Thread,Miami,FL,USA,,@miamithread,No,No,No,,New Lead,Miami streetwear + fashion boutique,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
Kicks Miami,Miami,FL,USA,,@kicksmiami,No,No,No,,New Lead,Miami sneaker retail boutique,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
Elite Kicks Miami,Miami,FL,USA,,@elitekicksmiami,No,No,No,,New Lead,Miami premium sneaker boutique,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
Fresh Prince Kicks,Miami,FL,USA,,@freshprincekicks,No,No,No,,New Lead,Miami sneaker boutique,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
786 Sneakers,Miami,FL,USA,,@786sneakers,No,No,No,,New Lead,Miami sneaker boutique - 305 culture,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
SBRK (Streetbreak),Miami,FL,USA,,@sbrk_miami,No,No,No,,New Lead,Miami streetwear boutique,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
Overdose Miami,Miami (Wynwood),FL,USA,,@overdosemiami,No,No,No,,New Lead,Wynwood streetwear boutique,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
Streetwear Exchange,Miami,FL,USA,,@streetwearexchangemiami,No,No,No,,New Lead,Miami streetwear resale + retail,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
Kicks Factory,Miami,FL,USA,,@kicksfactorymiami,No,No,No,,New Lead,Miami sneaker boutique + streetwear,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
SneakerHead Miami,Miami,FL,USA,,@sneakerheadmiami,No,No,No,,New Lead,Miami sneaker lifestyle boutique,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
