Store Name,City,State,Country,Website,Instagram,Email,Phone,Carries Supreme,Carries Hellstar,Carries Godspeed,Last Order Date,Outreach Status,Outreach Channel,Notes,Date Added,Lead Score,Priority Tier
HYP Miami,Miami (Brickell),FL,,hypmiami.com,@hypmiami,No,No,No,,New Lead,Premium streetwear Brickell - Chrome Hearts/Fear of God/GV Gallery - TOP PRIORITY,,,,,10,📋 TIER 3 — Warm
UNKNWN Miami,Miami,FL,,unknwn.com,@unknwn,No,No,No,,New Lead,Iconic Miami streetwear destination - KEY ACCOUNT,,,,,10,📋 TIER 3 — Warm
SoleFly South Miami,Miami,FL,,solefly.com,305-661-3423,No,No,No,,New Lead,8099 S Dixie Hwy #2 Miami FL 33143 - Collab boutique,,,,,10,📋 TIER 3 — Warm
SoleFly Cutler Bay,Cutler Bay,FL,,solefly.com,305-800-3423,No,No,No,,New Lead,18433 S Dixie Hwy Cutler Bay FL 33157,,,,,-30,❄️ TIER 4 — Cold
SoleFly Doral,Doral,FL,,solefly.com,@solefly,No,No,No,,New Lead,8405 NW 53 St Ste E106 Doral FL 33166,,,,,-30,❄️ TIER 4 — Cold
Survival Miami,Miami,FL,,survivalmiami.com,(786) 705-3777,info@survivalmiami.com,No,No,,New Lead,4 South Florida locations - multi-door deal potential,,,,,-20,❄️ TIER 4 — Cold
BASE Miami,Miami (Wynwood),FL,,,@basemiami,No,No,No,,New Lead,Yelp Top 10 Miami streetwear - Wynwood location,,,,,10,📋 TIER 3 — Warm
Sniper Gang Hotbox,Miami,FL,,,@snipergang,No,No,No,,New Lead,Rap/streetwear lifestyle store - Yelp Top 10,,,,,10,📋 TIER 3 — Warm
ReUp Miami,Miami,FL,,,@reupmiami,No,No,No,,New Lead,Resale + streetwear boutique - Yelp Top 10,,,,,10,📋 TIER 3 — Warm
D-Koncept,Miami,FL,,,@dkoncept_,No,No,No,,New Lead,Miami streetwear boutique - Yelp Top 10,,,,,10,📋 TIER 3 — Warm
Lower East Coast,Miami,FL,,,@lowereastcoastmiami,No,No,No,,New Lead,Miami streetwear - culture-forward,,,,,10,📋 TIER 3 — Warm
Cool J's,Miami,FL,,,@cooljsmiami,No,No,No,,New Lead,Streetwear + urban - Yelp Top 10 Miami,,,,,10,📋 TIER 3 — Warm
Wynwood Shop,Miami (Wynwood),FL,,wynwoodshop.com,@wynwoodshop,No,No,No,,New Lead,Wynwood - high tourist + local traffic,,,,,-30,❄️ TIER 4 — Cold
305 Streetwear,Miami,FL,,305streetwear.com,@305streetwear,No,No,No,,New Lead,Miami-born streetwear brand + retail,,,,,10,📋 TIER 3 — Warm
The Webster Miami,Miami Beach,FL,,thewebster.us,@thewebster,Yes,No,No,,New Lead,1220 Collins Ave - Luxury streetwear - Off-White/Fear of God,,,,,10,📋 TIER 3 — Warm
Supply & Advise,Miami Beach,FL,,supplyandadvise.com,@supplyandadvise,No,No,No,,New Lead,Premium menswear + streetwear Miami Beach,,,,,10,📋 TIER 3 — Warm
Addict Miami,Miami (Wynwood),FL,,,@addictmiami,No,No,No,,New Lead,2271 NW 2nd Ave Miami FL 33127 - Wynwood institution,,,,,-30,❄️ TIER 4 — Cold
Local Motion Miami,Miami,FL,,,@localmotionmiami,No,No,No,,New Lead,Miami lifestyle + streetwear boutique,,,,,10,📋 TIER 3 — Warm
The Sneaker Don,Miami,FL,,,@thesneakerdonmiami,No,No,No,,New Lead,Miami luxury sneaker boutique,,,,,10,📋 TIER 3 — Warm
Miami Thread,Miami,FL,,,@miamithread,No,No,No,,New Lead,Miami streetwear + fashion boutique,,,,,10,📋 TIER 3 — Warm
Kicks Miami,Miami,FL,,,@kicksmiami,No,No,No,,New Lead,Miami sneaker retail boutique,,,,,10,📋 TIER 3 — Warm
Elite Kicks Miami,Miami,FL,,,@elitekicksmiami,No,No,No,,New Lead,Miami premium sneaker boutique,,,,,10,📋 TIER 3 — Warm
Fresh Prince Kicks,Miami,FL,,,@freshprincekicks,No,No,No,,New Lead,Miami sneaker boutique,,,,,10,📋 TIER 3 — Warm
786 Sneakers,Miami,FL,,,@786sneakers,No,No,No,,New Lead,Miami sneaker boutique - 305 culture,,,,,10,📋 TIER 3 — Warm
SBRK (Streetbreak),Miami,FL,,,@sbrk_miami,No,No,No,,New Lead,Miami streetwear boutique,,,,,10,📋 TIER 3 — Warm
Overdose Miami,Miami (Wynwood),FL,,,@overdosemiami,No,No,No,,New Lead,Wynwood streetwear boutique,,,,,10,📋 TIER 3 — Warm
Streetwear Exchange,Miami,FL,,,@streetwearexchangemiami,No,No,No,,New Lead,Miami streetwear resale + retail,,,,,10,📋 TIER 3 — Warm
Kicks Factory,Miami,FL,,,@kicksfactorymiami,No,No,No,,New Lead,Miami sneaker boutique + streetwear,,,,,10,📋 TIER 3 — Warm
SneakerHead Miami,Miami,FL,,,@sneakerheadmiami,No,No,No,,New Lead,Miami sneaker lifestyle boutique,,,,,10,📋 TIER 3 — Warm
Concepts Miami,Miami,FL,,cncpts.com,@cncpts,No,No,No,,New Lead,Premium sneaker boutique with Miami distribution,,,,,10,📋 TIER 3 — Warm
Hialeah Kicks,Hialeah,FL,,,@hialehakicks,No,No,No,,New Lead,Hialeah sneaker boutique - dense market,,,,,10,📋 TIER 3 — Warm
North Miami Beach Streetwear,North Miami Beach,FL,,,@nmbstreetwear,No,No,No,,New Lead,North Miami Beach streetwear boutique,,,,,10,📋 TIER 3 — Warm
Aventura Kicks,Aventura,FL,,,@aventurakicks,No,No,No,,New Lead,Near Aventura Mall - affluent customer base,,,,,10,📋 TIER 3 — Warm
Sneaker Circle,Hollywood,FL,,,@sneakercircle,No,No,No,,New Lead,Hollywood FL sneaker boutique,,,,,10,📋 TIER 3 — Warm
The Plug HTB,Hollywood,FL,,,@theplughtb,No,No,No,,New Lead,Hollywood FL streetwear boutique,,,,,10,📋 TIER 3 — Warm
Hallandale Kicks,Hallandale Beach,FL,,,@hallandalekicks,No,No,No,,New Lead,Hallandale Beach sneaker boutique,,,,,10,📋 TIER 3 — Warm
The Vault FL,Fort Lauderdale,FL,,thevaultfl.com,954-882-7481,No,No,No,,New Lead,3920 Riverland Rd FTL 33312 - VERIFIED - TOP PRIORITY,,,,,-30,❄️ TIER 4 — Cold
Knotty Boy,Fort Lauderdale,FL,,,@knottyboyfitments,No,No,No,,New Lead,Fort Lauderdale streetwear + lifestyle,,,,,10,📋 TIER 3 — Warm
Broward Thread,Fort Lauderdale,FL,,,@browardthread,No,No,No,,New Lead,Fort Lauderdale streetwear boutique,,,,,10,📋 TIER 3 — Warm
Dope City Apparel,Fort Lauderdale,FL,,,@dopecityapparel,No,No,No,,New Lead,Fort Lauderdale urban + streetwear,,,,,10,📋 TIER 3 — Warm
Lucre,Pompano Beach,FL,,lucreindustries.com,@lucreindustries,No,No,No,,New Lead,2306 E Atlantic Blvd Pompano Beach FL 33062 - VERIFIED,,,,,-30,❄️ TIER 4 — Cold
The Hook Up,Pompano Beach,FL,,,@thehookupfl,No,No,No,,New Lead,Pompano Beach streetwear - Yelp Top 10,,,,,10,📋 TIER 3 — Warm
Cr8tive Outfitters,Pompano Beach,FL,,,@cr8tiveoutfitters,No,No,No,,New Lead,Pompano Beach streetwear,,,,,10,📋 TIER 3 — Warm
Sneaker Lovers,Pompano Beach,FL,,,@sneakerloversfl,No,No,No,,New Lead,Pompano Beach sneaker boutique,,,,,10,📋 TIER 3 — Warm
Soul Society Boutique,Pompano Beach,FL,,,@soulsocietyboutique,No,No,No,,New Lead,Lifestyle + streetwear - Pompano Beach,,,,,10,📋 TIER 3 — Warm
Boca Kickz,Boca Raton,FL,,,@bocakickz,No,No,No,,New Lead,Boca Raton sneaker boutique - affluent market,,,,,10,📋 TIER 3 — Warm
Fresh Kicks Boca,Boca Raton,FL,,,@freshkicksboca,No,No,No,,New Lead,Boca Raton sneaker boutique,,,,,10,📋 TIER 3 — Warm
Delray Kicks,Delray Beach,FL,,,@delraykicks,No,No,No,,New Lead,Delray Beach - Atlantic Ave traffic,,,,,10,📋 TIER 3 — Warm
Palm Beach Streetwear,West Palm Beach,FL,,,@palmbeachstreetwear,No,No,No,,New Lead,West Palm Beach streetwear boutique,,,,,10,📋 TIER 3 — Warm
SoleCity WPB,West Palm Beach,FL,,,@solecitywpb,No,No,No,,New Lead,West Palm Beach sneaker + streetwear,,,,,10,📋 TIER 3 — Warm
The Hookup WPB,West Palm Beach,FL,,,@thehookupwpb,No,No,No,,New Lead,West Palm Beach urban + streetwear,,,,,10,📋 TIER 3 — Warm
Lake Worth Threads,Lake Worth,FL,,,@lakewortththreads,No,No,No,,New Lead,Lake Worth streetwear boutique,,,,,10,📋 TIER 3 — Warm
Riviera Beach Kicks,Riviera Beach,FL,,,@rivierabeachkicks,No,No,No,,New Lead,Riviera Beach sneaker boutique,,,,,10,📋 TIER 3 — Warm
Boynton Beach Kicks,Boynton Beach,FL,,,@boyntonbeachkicks,No,No,No,,New Lead,Boynton Beach sneaker + streetwear,,,,,10,📋 TIER 3 — Warm
HYP Miami,Miami (Brickell),FL,,hypmiami.com,@hypmiami,No,No,No,,New Lead,Premium streetwear Brickell - Chrome Hearts/Fear of God/GV Gallery - TOP PRIORITY,,,,,10,📋 TIER 3 — Warm
UNKNWN Miami,Miami,FL,,unknwn.com,@unknwn,No,No,No,,New Lead,Iconic Miami streetwear destination - KEY ACCOUNT,,,,,10,📋 TIER 3 — Warm
SoleFly South Miami,Miami,FL,,solefly.com,305-661-3423,No,No,No,,New Lead,8099 S Dixie Hwy #2 Miami FL 33143 - Collab boutique,,,,,10,📋 TIER 3 — Warm
SoleFly Cutler Bay,Cutler Bay,FL,,solefly.com,305-800-3423,No,No,No,,New Lead,18433 S Dixie Hwy Cutler Bay FL 33157,,,,,-30,❄️ TIER 4 — Cold
SoleFly Doral,Doral,FL,,solefly.com,@solefly,No,No,No,,New Lead,8405 NW 53 St Ste E106 Doral FL 33166,,,,,-30,❄️ TIER 4 — Cold
Survival Miami,Miami,FL,,survivalmiami.com,(786) 705-3777,No,No,No,,New Lead,4 South Florida locations - multi-door deal potential. Email: info@survivalmiami.com,,,,,-30,❄️ TIER 4 — Cold
BASE Miami,Miami (Wynwood),FL,,,@basemiami,No,No,No,,New Lead,Yelp Top 10 Miami streetwear - Wynwood location,,,,,10,📋 TIER 3 — Warm
Sniper Gang Hotbox,Miami,FL,,,@snipergang,No,No,No,,New Lead,Rap/streetwear lifestyle store - Yelp Top 10,,,,,10,📋 TIER 3 — Warm
ReUp Miami,Miami,FL,,,@reupmiami,No,No,No,,New Lead,Resale + streetwear boutique - Yelp Top 10,,,,,10,📋 TIER 3 — Warm
D-Koncept,Miami,FL,,,@dkoncept_,No,No,No,,New Lead,Miami streetwear boutique - Yelp Top 10,,,,,10,📋 TIER 3 — Warm
Lower East Coast,Miami,FL,,,@lowereastcoastmiami,No,No,No,,New Lead,Miami streetwear - culture-forward,,,,,10,📋 TIER 3 — Warm
Cool J's,Miami,FL,,,@cooljsmiami,No,No,No,,New Lead,Streetwear + urban - Yelp Top 10 Miami,,,,,10,📋 TIER 3 — Warm
Wynwood Shop,Miami (Wynwood),FL,,wynwoodshop.com,@wynwoodshop,No,No,No,,New Lead,Wynwood - high tourist + local traffic,,,,,-30,❄️ TIER 4 — Cold
305 Streetwear,Miami,FL,,305streetwear.com,@305streetwear,No,No,No,,New Lead,Miami-born streetwear brand + retail,,,,,10,📋 TIER 3 — Warm
The Webster Miami,Miami Beach,FL,,thewebster.us,@thewebster,Yes,No,No,,New Lead,1220 Collins Ave - Luxury streetwear - Off-White/Fear of God,,,,,10,📋 TIER 3 — Warm
Supply & Advise,Miami Beach,FL,,supplyandadvise.com,@supplyandadvise,No,No,No,,New Lead,Premium menswear + streetwear Miami Beach,,,,,10,📋 TIER 3 — Warm
Addict Miami,Miami (Wynwood),FL,,,@addictmiami,No,No,No,,New Lead,2271 NW 2nd Ave Miami FL 33127 - Wynwood institution,,,,,-30,❄️ TIER 4 — Cold
Local Motion Miami,Miami,FL,,,@localmotionmiami,No,No,No,,New Lead,Miami lifestyle + streetwear boutique,,,,,10,📋 TIER 3 — Warm
The Sneaker Don,Miami,FL,,,@thesneakerdonmiami,No,No,No,,New Lead,Miami luxury sneaker boutique,,,,,10,📋 TIER 3 — Warm
Miami Thread,Miami,FL,,,@miamithread,No,No,No,,New Lead,Miami streetwear + fashion boutique,,,,,10,📋 TIER 3 — Warm
Kicks Miami,Miami,FL,,,@kicksmiami,No,No,No,,New Lead,Miami sneaker retail boutique,,,,,10,📋 TIER 3 — Warm
Elite Kicks Miami,Miami,FL,,,@elitekicksmiami,No,No,No,,New Lead,Miami premium sneaker boutique,,,,,10,📋 TIER 3 — Warm
Fresh Prince Kicks,Miami,FL,,,@freshprincekicks,No,No,No,,New Lead,Miami sneaker boutique,,,,,10,📋 TIER 3 — Warm
786 Sneakers,Miami,FL,,,@786sneakers,No,No,No,,New Lead,Miami sneaker boutique - 305 culture,,,,,10,📋 TIER 3 — Warm
SBRK (Streetbreak),Miami,FL,,,@sbrk_miami,No,No,No,,New Lead,Miami streetwear boutique,,,,,10,📋 TIER 3 — Warm
Overdose Miami,Miami (Wynwood),FL,,,@overdosemiami,No,No,No,,New Lead,Wynwood streetwear boutique,,,,,10,📋 TIER 3 — Warm
Streetwear Exchange,Miami,FL,,,@streetwearexchangemiami,No,No,No,,New Lead,Miami streetwear resale + retail,,,,,10,📋 TIER 3 — Warm
Kicks Factory,Miami,FL,,,@kicksfactorymiami,No,No,No,,New Lead,Miami sneaker boutique + streetwear,,,,,10,📋 TIER 3 — Warm
SneakerHead Miami,Miami,FL,,,@sneakerheadmiami,No,No,No,,New Lead,Miami sneaker lifestyle boutique,,,,,10,📋 TIER 3 — Warm
Concepts Miami,Miami,FL,,cncpts.com,@cncpts,No,No,No,,New Lead,Premium sneaker boutique with Miami distribution,,,,,10,📋 TIER 3 — Warm
Hialeah Kicks,Hialeah,FL,,,@hialehakicks,No,No,No,,New Lead,Hialeah sneaker boutique - dense market,,,,,10,📋 TIER 3 — Warm
North Miami Beach Streetwear,North Miami Beach,FL,,,@nmbstreetwear,No,No,No,,New Lead,North Miami Beach streetwear boutique,,,,,10,📋 TIER 3 — Warm
Aventura Kicks,Aventura,FL,,,@aventurakicks,No,No,No,,New Lead,Near Aventura Mall - affluent customer base,,,,,10,📋 TIER 3 — Warm
Sneaker Circle,Hollywood,FL,,,@sneakercircle,No,No,No,,New Lead,Hollywood FL sneaker boutique,,,,,10,📋 TIER 3 — Warm
The Plug HTB,Hollywood,FL,,,@theplughtb,No,No,No,,New Lead,Hollywood FL streetwear boutique,,,,,10,📋 TIER 3 — Warm
Hallandale Kicks,Hallandale Beach,FL,,,@hallandalekicks,No,No,No,,New Lead,Hallandale Beach sneaker boutique,,,,,10,📋 TIER 3 — Warm
The Vault FL,Fort Lauderdale,FL,,thevaultfl.com,954-882-7481,No,No,No,,New Lead,3920 Riverland Rd FTL 33312 - VERIFIED - TOP PRIORITY,,,,,-30,❄️ TIER 4 — Cold
