Store Name,City,State,Website,Email,Phone
SoleFly South Miami,Miami,FL,https://solefly.com,No,No
SoleFly Cutler Bay,Cutler Bay,FL,https://solefly.com,No,No
Survival Miami,Miami,FL,https://survivalmiami.com,info@survivalmiami.com,No
The Vault FL,Fort Lauderdale,FL,https://thevaultfl.com,No,No
SoleFly South Miami,Miami,FL,https://solefly.com,No,No
SoleFly Cutler Bay,Cutler Bay,FL,https://solefly.com,No,No
Survival Miami,Miami,FL,https://survivalmiami.com,No,No
The Vault FL,Fort Lauderdale,FL,https://thevaultfl.com,No,No
Men's Closet,Orlando,FL,https://mensclosetclothing.com,No,No
Aphonics Kicks (Florida Mall),Orlando,FL,https://www.aphonicss.com,Yes,No
Aphonics Kicks (Int'l Dr),Orlando,FL,https://www.aphonicss.com,Yes,No
Timeless Sneaker Boutique,Orlando,FL,https://www.simon.com/mall/the-florida-mall/stores/timeless-sneaker-boutique,No,No
Lovely Kickz Boutique,Orlando,FL,,No,No
Culture of Fame,Tampa,FL,https://cultureoffame.com,No,No
813 Designer World,Tampa,FL,https://813designerworld.com,No,No
FLY,Tampa,FL,,No,No
Entourage Streetwear,Tampa,FL,https://entouragestreetwear.com,No,No
Hotbins Tampa,Tampa,FL,https://hotbins.com,No,No
KickzR4Us Sneaker Boutique,Tampa,FL,,No,No
Hotbins Brandon,Brandon,FL,https://hotbins.com,No,No
Fresh Rags FL,Pinellas Park,FL,https://freshragsfl.com,No,No
Hotbins Holiday,Holiday,FL,https://hotbins.com,No,No
OG Unlaced Sneaker Store,Sarasota,FL,https://ogunlaced.com,No,No
Hotbins Sarasota,Sarasota,FL,https://hotbins.com,No,No
Urban Culture Boutique,Sarasota,FL,https://shopurbanculture.com,No,No
Graffiti SRQ,Sarasota,FL,https://graffitisrq.com,No,No
T. Georgiano's Boutique,Sarasota,FL,https://tgeorgianos.com,No,No
Verified Sneaker Boutique,Fort Myers,FL,https://www.verifiedfm.com,Yes,No
Hotbins Fort Myers,Fort Myers,FL,https://hotbins.com,No,No
